t_end,regime,status,window_flag,score_Q_time,score_Q_space,score_T2_time,score_T2_space,reason_codes
2025-01-01 04:45:00,1,insufficient_data,False,,,,,insufficient_data
2025-01-01 06:45:00,1,insufficient_data,False,,,,,insufficient_data
2025-01-01 08:45:00,1,insufficient_data,False,,,,,insufficient_data
2025-01-01 10:45:00,1,insufficient_data,False,,,,,insufficient_data
2025-01-01 12:45:00,1,insufficient_data,False,,,,,insufficient_data
2025-01-01 14:45:00,1,insufficient_data,False,,,,,insufficient_data
2025-01-01 16:45:00,1,insufficient_data,False,,,,,insufficient_data
2025-01-01 18:45:00,1,insufficient_data,False,,,,,insufficient_data
2025-01-01 20:45:00,1,insufficient_data,False,,,,,insufficient_data
2025-01-01 22:45:00,1,insufficient_data,False,,,,,insufficient_data
2025-01-02 00:45:00,1,insufficient_data,False,,,,,insufficient_data
2025-01-02 02:45:00,1,insufficient_data,False,,,,,insufficient_data
2025-01-02 04:45:00,1,insufficient_data,False,,,,,insufficient_data
2025-01-02 06:45:00,1,transition,False,,,,,transition_regime
2025-01-02 08:45:00,1,transition,False,,,,,transition_regime
2025-01-02 10:45:00,1,transition,False,,,,,transition_regime
2025-01-02 12:45:00,1,transition,False,,,,,transition_regime
2025-01-02 14:45:00,1,transition,False,,,,,transition_regime
2025-01-02 16:45:00,1,transition,False,,,,,transition_regime
2025-01-02 18:45:00,1,transition,False,,,,,transition_regime
2025-01-02 20:45:00,1,transition,False,,,,,transition_regime
2025-01-02 22:45:00,1,transition,False,,,,,transition_regime
2025-01-03 00:45:00,1,transition,False,,,,,transition_regime
2025-01-03 02:45:00,1,transition,False,,,,,transition_regime
2025-01-03 04:45:00,1,transition,False,,,,,transition_regime
2025-01-03 06:45:00,1,transition,False,,,,,transition_regime
2025-01-03 08:45:00,1,transition,False,,,,,transition_regime
2025-01-03 10:45:00,1,transition,False,,,,,transition_regime
2025-01-03 12:45:00,1,transition,False,,,,,transition_regime
2025-01-03 14:45:00,-1,transition,False,,,,,transition_regime
2025-01-03 16:45:00,1,transition,False,,,,,transition_regime
2025-01-03 18:45:00,1,transition,False,,,,,transition_regime
2025-01-03 20:45:00,1,transition,False,,,,,transition_regime
2025-01-03 22:45:00,1,transition,False,,,,,transition_regime
2025-01-04 00:45:00,1,transition,False,,,,,transition_regime
2025-01-04 02:45:00,1,transition,False,,,,,transition_regime
2025-01-04 04:45:00,1,transition,False,,,,,transition_regime
2025-01-04 06:45:00,1,transition,False,,,,,transition_regime
2025-01-04 08:45:00,1,transition,False,,,,,transition_regime
2025-01-04 10:45:00,1,transition,False,,,,,transition_regime
2025-01-04 12:45:00,1,transition,False,,,,,transition_regime
2025-01-04 14:45:00,1,transition,False,,,,,transition_regime
2025-01-04 16:45:00,1,insufficient_data,False,,,,,insufficient_data
2025-01-04 18:45:00,1,insufficient_data,False,,,,,insufficient_data
2025-01-04 20:45:00,1,insufficient_data,False,,,,,insufficient_data
2025-01-04 22:45:00,1,transition,False,,,,,transition_regime
2025-01-05 00:45:00,1,transition,False,,,,,transition_regime
2025-01-05 02:45:00,1,transition,False,,,,,transition_regime
2025-01-05 04:45:00,-1,transition,False,,,,,transition_regime
2025-01-05 06:45:00,4,transition,False,,,,,transition_regime
2025-01-05 08:45:00,4,transition,False,,,,,transition_regime
2025-01-05 10:45:00,4,transition,False,,,,,transition_regime
2025-01-05 12:45:00,4,transition,False,,,,,transition_regime
2025-01-05 14:45:00,1,transition,False,,,,,transition_regime
2025-01-05 16:45:00,1,transition,False,,,,,transition_regime
2025-01-05 18:45:00,4,transition,False,,,,,transition_regime
2025-01-05 20:45:00,4,transition,False,,,,,transition_regime
2025-01-05 22:45:00,4,transition,False,,,,,transition_regime
2025-01-06 00:45:00,4,transition,False,,,,,transition_regime
2025-01-06 02:45:00,4,transition,False,,,,,transition_regime
2025-01-06 04:45:00,4,transition,False,,,,,transition_regime
2025-01-06 06:45:00,4,transition,False,,,,,transition_regime
2025-01-06 08:45:00,1,transition,False,,,,,transition_regime
2025-01-06 10:45:00,1,transition,False,,,,,transition_regime
2025-01-06 12:45:00,1,transition,False,,,,,transition_regime
2025-01-06 14:45:00,4,transition,False,,,,,transition_regime
2025-01-06 16:45:00,4,transition,False,,,,,transition_regime
2025-01-06 18:45:00,4,transition,False,,,,,transition_regime
2025-01-06 20:45:00,4,transition,False,,,,,transition_regime
2025-01-06 22:45:00,1,transition,False,,,,,transition_regime
2025-01-07 00:45:00,1,transition,False,,,,,transition_regime
2025-01-07 02:45:00,1,transition,False,,,,,transition_regime
2025-01-07 04:45:00,1,transition,False,,,,,transition_regime
2025-01-07 06:45:00,-1,transition,False,,,,,transition_regime
2025-01-07 08:45:00,1,transition,False,,,,,transition_regime
2025-01-07 10:45:00,1,transition,False,,,,,transition_regime
2025-01-07 12:45:00,1,transition,False,,,,,transition_regime
2025-01-07 14:45:00,1,insufficient_data,False,,,,,insufficient_data
2025-01-07 16:45:00,1,transition,False,,,,,transition_regime
2025-01-07 18:45:00,-1,transition,False,,,,,transition_regime
2025-01-07 20:45:00,1,transition,False,,,,,transition_regime
2025-01-07 22:45:00,1,transition,False,,,,,transition_regime
2025-01-08 00:45:00,1,transition,False,,,,,transition_regime
2025-01-08 02:45:00,1,transition,False,,,,,transition_regime
2025-01-08 04:45:00,1,transition,False,,,,,transition_regime
2025-01-08 06:45:00,1,transition,False,,,,,transition_regime
2025-01-08 08:45:00,4,transition,False,,,,,transition_regime
2025-01-08 10:45:00,4,transition,False,,,,,transition_regime
2025-01-08 12:45:00,1,transition,False,,,,,transition_regime
2025-01-08 14:45:00,1,transition,False,,,,,transition_regime
2025-01-08 16:45:00,1,insufficient_data,False,,,,,insufficient_data
